"Source:","Z:\gitHub\74HCT6526\B3\B3.kicad_sch"
"Date:","18/10/2022 22:42:34"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","82"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","U312","74HC244","74xx:74HC244","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT244.pdf"
"","","U313","74HC299","74xx:74LS299","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS299"
"","","U314","74HC32","74xx:74LS32","Package_SO:SO-14_3.9x8.65mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS32"
"","","U315","74HC193","74xx:74LS193","Package_SO:SO-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn74ls193.pdf"
"","","U316","74HC00","74xx:74HC00","Package_SO:SO-14_3.9x8.65mm_P1.27mm","http://www.ti.com/lit/gpn/sn74hc00"
"","","U317","74HC74","74xx:74HC74","Package_SO:SO-14_3.9x8.65mm_P1.27mm","74xx/74hc_hct74.pdf"
"","","U318","74HC08","Custom 74xx:74HC08","Package_SO:SO-14_3.9x8.65mm_P1.27mm",""
"","","U319","74HC32","74xx:74LS32","Package_SO:SO-14_3.9x8.65mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS32"
"","","U320","74HC00","74xx:74HC00","Package_SO:SO-14_3.9x8.65mm_P1.27mm","http://www.ti.com/lit/gpn/sn74hc00"
"","","U321","74HC00","74xx:74HC00","Package_SO:SO-14_3.9x8.65mm_P1.27mm","http://www.ti.com/lit/gpn/sn74hc00"
"","","U322","74HC00","74xx:74HC00","Package_SO:SO-14_3.9x8.65mm_P1.27mm","http://www.ti.com/lit/gpn/sn74hc00"
"","","U323","74HC00","74xx:74HC00","Package_SO:SO-14_3.9x8.65mm_P1.27mm","http://www.ti.com/lit/gpn/sn74hc00"
"","","U324","74HC00","74xx:74HC00","Package_SO:SO-14_3.9x8.65mm_P1.27mm","http://www.ti.com/lit/gpn/sn74hc00"
"","","U325","74HC08","Custom 74xx:74HC08","Package_SO:SO-14_3.9x8.65mm_P1.27mm",""
"","","U326","74HC08","Custom 74xx:74HC08","Package_SO:SO-14_3.9x8.65mm_P1.27mm",""
"","","U327","74HC377","74xx:74LS377","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS377"
"","","U328","74HC00","74xx:74HC00","Package_SO:SO-14_3.9x8.65mm_P1.27mm","http://www.ti.com/lit/gpn/sn74hc00"
"","","U329","74HC00","74xx:74HC00","Package_SO:SO-14_3.9x8.65mm_P1.27mm","http://www.ti.com/lit/gpn/sn74hc00"
"","","U330","74HC74","74xx:74HC74","Package_SO:SO-14_3.9x8.65mm_P1.27mm","74xx/74hc_hct74.pdf"
"","","U331","74HC74","74xx:74HC74","Package_SO:SO-14_3.9x8.65mm_P1.27mm","74xx/74hc_hct74.pdf"
"","","U332","74HC74","74xx:74HC74","Package_SO:SO-14_3.9x8.65mm_P1.27mm","74xx/74hc_hct74.pdf"
"","","U333","74HC74","74xx:74HC74","Package_SO:SO-14_3.9x8.65mm_P1.27mm","74xx/74hc_hct74.pdf"
"","","U334","74HC74","74xx:74HC74","Package_SO:SO-14_3.9x8.65mm_P1.27mm","74xx/74hc_hct74.pdf"
"","","U335","74HC04","74xx:74HC04","Package_SO:SO-14_3.9x8.65mm_P1.27mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT04.pdf"
"","","U336","74HC244","74xx:74HC244","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT244.pdf"
"","","U337","74HC08","Custom 74xx:74HC08","Package_SO:SO-14_3.9x8.65mm_P1.27mm",""
"","","U338","74HC32","74xx:74LS32","Package_SO:SO-14_3.9x8.65mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS32"
"","","U339","74HC08","Custom 74xx:74HC08","Package_SO:SO-14_3.9x8.65mm_P1.27mm",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","40","C301, C302, C303, C304, C305, C306, C307, C308, C309, C310, C311, C312, C313, C314, C315, C316, C317, C318, C319, C320, C321, C322, C323, C324, C325, C326, C327, C328, C329, C330, C331, C332, C333, C334, C335, C336, C337, C338, C339, C340","100n","Device:C","Capacitor_SMD:C_0603_1608Metric","~"
"2","3","CONTROLBUS3, DATABUS3, ENABLEBUS3","Conn_02x10_Odd_Even","Connector_Generic:Conn_02x10_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","~"
"3","10","U301, U309, U316, U320, U321, U322, U323, U324, U328, U329","74HC00","74xx:74HC00","Package_SO:SO-14_3.9x8.65mm_P1.27mm","http://www.ti.com/lit/gpn/sn74hc00"
"4","1","U302","74HC125","74xx:74LS125","Package_SO:SO-14_3.9x8.65mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS125"
"5","9","U303, U304, U305, U317, U330, U331, U332, U333, U334","74HC74","74xx:74HC74","Package_SO:SO-14_3.9x8.65mm_P1.27mm","74xx/74hc_hct74.pdf"
"6","4","U306, U314, U319, U338","74HC32","74xx:74LS32","Package_SO:SO-14_3.9x8.65mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS32"
"7","2","U307, U313","74HC299","74xx:74LS299","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS299"
"8","2","U308, U315","74HC193","74xx:74LS193","Package_SO:SO-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn74ls193.pdf"
"9","3","U310, U312, U336","74HC244","74xx:74HC244","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT244.pdf"
"10","2","U311, U327","74HC377","74xx:74LS377","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS377"
"11","5","U318, U325, U326, U337, U339","74HC08","Custom 74xx:74HC08","Package_SO:SO-14_3.9x8.65mm_P1.27mm",""
"12","1","U335","74HC04","74xx:74HC04","Package_SO:SO-14_3.9x8.65mm_P1.27mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT04.pdf"
